Id,Kategori,Judul,Tanggal dan Waktu Terbit,Penulis,Isi Berita
7184485,            Berita        ,Polisi Tetapkan Kekasih Tamara Tyasmara Jadi Tersangka!,"Jumat, 09 Feb 2024 00:38 WIB",Yogi Ernes  ,"Polisi telah menangkap kekasih Tamara Tyasmara inisial YA terkait kematian anaknya bernama Dante (6). YA kini telah ditetapkan tersangka.""Betul (tersangka),"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi saat dihubungi, Jumat (9/2/2024).YA merupakan kekasih dari Tamara. Dia ditangkap oleh jajaran Subdit Jatanras Polda Metro Jaya.""Penyidik telah melakukan penangkapan terhadap saudara YA terkait peristiwa meninggalnya putra saudari Tamara,"" kata Ade.Ade mengatakan YA ditangkap hari ini. YA masih dilakukan pemeriksaan di Polda Metro Jaya.""Penangkapan dilakukan di daerah Pondok Kelapa, di rumahnya,"" tutur Ade.Kasus kematian Dante saat ini telah naik ke tingkat penyidikan. Polisi menemukan adanya kelalaian hingga menyebabkan korban meninggal dunia."
7184481,            Berita        ,"Pemilih Muda Ada 56%, Waka MPR: Masa Depan RI Ditentukan Generasi Saat Ini","Jumat, 09 Feb 2024 00:38 WIB",Erika Dyah  ,"Wakil Ketua MPR Sjarifuddin Hasan berharap generasi milenial konsisten berpartisipasi aktif dalam Pemilu 2024. Ia berharap milenial menggunakan hak pilihnya pada hari pemungutan suara tanggal 14 Februari 2024.Dalam dialog yang digelar di Hotel Gino Feruci, Cianjur, Kamis (8/2) dengan sekitar 50 orang pelajar dan mahasiswa, Syarief menegaskan hak memilih dalam pemilu hanya bisa digunakan pemilih bersangkutan dan tidak bisa diwakilkan kepada orang lain.""Jadi kalau semua generasi milenial ikut memilih dalam Pemilu 2024 maka generasi milenial mempunyai perhatian dan kepedulian terhadap nasib bangsa dan negara Indonesia ke depan,"" kata Syarief dalam keterangannya, Jumat (9/2/2024).Ia menuturkan generasi milenial merupakan kelompok pemilih terbesar dalam Pemilu 2024. Bahkan, jumlah pemilih milenial dalam Pemilu 2024 mencapai 56 persen dari seluruh pemilih yang berjumlah sekitar 205 juta orang.""Jadi masa depan Indonesia ditentukan kalangan generasi milenial saat ini,"" tuturnya.Dengan potensi itu, Syarief Hasan meminta generasi milenial mempersiapkan diri menjadi pemimpin di masa depan.""Gunakan kesempatan dan peluang ini sebaik-baiknya untuk mempersiapkan diri menjadi pemimpin di masa depan, bisa menjadi pemimpin di tingkat nasional maupun daerah sampai di tingkat paling bawah. Jadi siapkan diri Anda untuk menjadi pemimpin di masa depan,"" terang Anggota DPR dari Daerah Pemilihan Kabupaten Cianjur dan Kota Bogor ini.Syarief meyakini kalangan generasi milenial bisa berperan lebih besar mengingat salah satu ciri dari kalangan milenial adalah sikap pantang menyerah. Ia menyebut anak-anak muda lebih mudah bangkit dan cepat move on untuk meraih cita-cita.""Sikap pantang menyerah ini agar dijaga dan dipertahankan sehingga menjadi bekal untuk mempersiapkan diri menjadi pemimpin di masa depan,"" pinta mantan Menteri Koperasi dan UKM pada masa pemerintahan Susilo Bambang Yudhoyono tahun 2009-2014 ini.Syarief Hasan juga meminta generasi milenial mengajak teman-temannya berpartisipasi dalam Pemilu 2024. Ia menjelaskan Pemilu 2024 ini menggunakan sistem terbuka.Calon anggota legislatif (Caleg) untuk DPR, DPD, dan DPRD tertera dalam surat suara sesuai dengan nomor urut caleg bersangkutan. Di bilik suara, lanjutnya, pemilih dapat mencoblos caleg yang dikehendaki untuk menjadi wakil di lembaga legislatif. Pemilih pun juga mencoblos pasangan calon presiden dan calon wakil presiden yang ada di kertas suara.""Siapa yang terpilih adalah caleg dan pasangan capres-cawapres yang mendapat suara terbanyak,"" tuturnya.Lebih lanjut, ia mengungkapkan pertemuan ini membahas berbagai isu terkait kenegaraan, seperti Pemilu 2024, kewenangan lembaga negara DPR dan MPR, hingga masalah-masalah lainnya yang dihadapi para milenial seperti pendidikan, pekerjaan, dan sebagainya.Syarief menyebut bila milenial tidak berpartisipasi dalam pemilu atau tidak menggunakan hak pilihnya, maka milenial tidak boleh komplain atau menyatakan ketidakpuasan terhadap jalannya pemerintahan nanti. Sebaliknya, jika milenial menggunakan hak pilihnya, mereka bisa melakukan komplain setiap saat terhadap lembaga legislatif dan pemerintah.""Dalam negara demokrasi, untuk menyampaikan ketidakpuasan atau protes itu diatur dalam undang-undang. Menggunakan hak pilih dalam pemilu dan menyampaikan ketidakpuasan atau protes ini juga menjadi salah satu bagian dari tanggung jawab sebagai generasi milenial,"" pungkas Wakil Ketua MPR dari Fraksi Partai Demokrat ini."
7184477,            Berita        ,Polisi Tangkap Kekasih Tamara Tyasmara Terkait Kematian Dante,"Jumat, 09 Feb 2024 00:38 WIB",Yogi Ernes  ,"Kasus penyidikan kematian Dante (6), anak artis Tamara Tyasmara, memasuki babak baru. Kekasih Tamara berinisial YA telah ditangkap.""Penyidik telah melakukan penangkapan terhadap saudara YA terkait peristiwa meninggalnya putra saudari Tamara,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi saat dihubungi, Jumat (9/2/2024).Ade mengatakan YA ditangkap hari ini. YA masih dilakukan pemeriksaan di Polda Metro Jaya.""Penangkapan dilakukan di daerah Pondok Kelapa, di rumahnya,"" tutur Ade.Kasus kematian Dante saat ini telah naik ke tingkat penyidikan. Polisi menemukan ada kelalaian hingga menyebabkan korban meninggal dunia."
7184473,            Pemilu        ,PPP Harap Pers Indonesia Jadi Garda Terdepan Kawal Pemilu Jujur & Adil,"Jumat, 09 Feb 2024 00:38 WIB",Inkana Putri  ,"Sekjen PPP Arwani Thomafi mengatakan pers di Indonesia secara konsisten mengawal penyelenggaraan Pemilu 2024 berjalan demokratis. Oleh karena itu, memperingati Hari Pers Nasional (HPN) 2024, ia berharap pers makin mengukuhkan perannya sebagai penjaga demokrasi di Indonesia. ""Peringatan Hari Pers Nasional tahun 2024 ini diharapkan pers makin mengukuhkan sebagai pilar penting dalam penyelenggaraan demokrasi di Indonesia. PPP menilai Pers Indonesia konsisten mengawal proses demokratisasi ini berjalan dengan baik,"" ujar Arwani dalam keterangannya, Jumat (9/2/2024). Anggota Komisi I DPR RI ini pun mengatakan selama proses Pemilu 2024, pers berperan cukup penting dalam mengawal setiap tahapan, mengkritisi tahapan, dan menjadi media penghubung narasi publik ke khalayak. Menurutnya, peran tersebut secara umum dijalankan dengan cukup baik. ""Proses pemilu masih berjalan ke depan, kami berharap pers di Indonesia menjadi garda terdepan dalam mengawal tahapan pemilu agar berjalan dengan jujur dan adil,"" ucap Arwani.Arwani menambahkan, pers menjadi salah satu pilar penting dalam gelaran Pemilu 2024. Ia pun meyakini Pemilu 2024 dapat berjalan dengan baik bila pers menjalankan perannya dengan baik.""Salah satu elemen penting pemilu yang jujur dan adil tak lain berfungsinya pers Indonesia dalam melakukan kontrol dalam pelaksanaan Pemilu 2024,"" sebut Arwani.Ia juga berharap pers di Indonesia dapat menjalankan perannya dengan baik ke depannya. Ia juga melihat pers telah melakukan adaptasi industri media dengan cepat seiring pesatnya pertumbuhan digital di Indonesia. ""Pers Indonesia cukup baik adaptif seiring perkembangan digital yang sangat masif di Indonesia. Semoga ke depan, pers di Indonesia makin maju ke depan,"" pungkas Arwani."
7184450,            Pemilu        ,"Menangis Curhat ke Anies, Nelayan Caleg PKS Bantah Anggapan Gimik","Jumat, 09 Feb 2024 00:38 WIB",Rachmat Ariadi  ,"Nelayan bernama Sappe yang juga caleg dari PKS viral di media sosial usai curhat dan menangis ke capres nomor urut 1 Anies Baswedan saat kampanye di Kota Parepare, Sulawesi Selatan (Sulsel). Sappe membantah bahwa aksinya itu settingan.""Buzzer paslon lain bilang itu gimmick atau sandiwara terserah, itu hanya anggapan mereka,"" kata Sappe, dilansir detikSulsel, Rabu (7/2/2024) malam.Sappe mengaku terharu dan bangga bisa berhadapan langsung dengan Anies dan bukan bagian dari gimik. Dia mengatakan masyarakat nelayan, khususnya di Parepare, berharap Anies menjadi presiden.""Soal saya menangis, itu tidak dibuat-buat, gimmick atau sandiwara, karena saya merasa haru dan bangga bisa berhadapan langsung oleh calon presiden yang akan membawa perubahan di negara ini,"" katanya.""Kami nelayan dan masyarakat Parepare menitip harapan besar ke beliau saat menjabat presiden nanti,"" sambungnya.Lebih lanjut, dia juga menanggapi kritikan netizen terkait penampilannya seperti nelayan yang terkesan dibuat-buat. Sappe menegaskan kostum tersebut memang sengaja digunakan sebagai identitas nelayan.""Ya karena saya nelayan saya harus berpenampilan sebagai nelayan. Lokasinya kampanyenya saat itu di pinggir pantai. Banyaklah komentar-komentar yang mengira saya buat-buat seperti itu,"" katanya.Baca selengkapnya di sini."
7184449,            Pemilu        ,"Dugaan Kecurangan di Malaysia, KPU Ungkap Ada 1.972 Surat Suara Dicoblos","Jumat, 09 Feb 2024 00:38 WIB",Wilda Hayatun Nufus  ,"KPU masih mendalami informasi terkait surat suara tercoblos di Malaysia. KPU mengungkap terdapat 1972 surat suara yang dicoblos orang tak berwenang.""Saat ini informasi yang kami peroleh dari PPLN Kuala Lumpur, pengawas Pemilu luar negeri Kuala Lumpur sedang mendalami informasi tersebut,"" kata anggota KPU Idham Kholik, saat dihubungi, Jumat (9/2/2024).""Informasinya ada 1.972 surat suara yang dicoblos oleh orang yang tidak berwenang,"" kata Idham.KPU mengatakan saat ini pihaknya sedang menunggu informasi lebih lanjut dari Panwaslu LN Kuala Lumpur terkait informasi tersebut.""Kami masih menunggu informasi lebih lanjut hasil pendalaman atau penelaahan Panwaslu LN Kuala Lumpur,"" ujarnya.Sebelumnya, Badan Pengawas Pemilu (Bawaslu) RI menelusuri dugaan kecurangan surat suara di Tempat Pemungutan Surat Suara Luar Negeri (TPSLN) di Malaysia yang sudah tercoblos. Bawaslu saat ini masih mengecek kebenaran terkait kondisi tersebut.""Iya sedang dalam penelusuran Panwaslu Kuala Lumpur. Sedang berproses,"" kata Anggota Bawaslu RI Lolly Suhenty kepada wartawan, Rabu (7/2).Lolly mengakui pihaknya memang kesulitan mengawasi distribusi surat suara metode pos. Lolly menyebut ketiadaan anggaran pun menjadi kendala tersebut.""Iya karena kalau pos kan, hubungannya dengan kebijakan negara termaksud. Yang Bawaslu awasi pada proses persiapan pengiriman (memastikan data pemilih pos tepat jumlah, tepat nama dan tepat tujuan sesuai alamat) dan proses kedatangan atau surat suara yang kembali,"" ujarnya."
7184440,            Pemilu        ,Prabowo Apresiasi Zulhas: Saya Tidak Akan Pernah Lupa dengan PAN,"Jumat, 09 Feb 2024 00:38 WIB",Alfi Kholisdinuka  ,"Calon Presiden Nomor Urut 2, Prabowo Subianto menghadiri kampanye akbar bertajuk Temu Kader Pagelaran Anak Negeri di Stadion Gelora Bandung Lautan Api (GBLA), Bandung Jawa Barat. Pada kesempatan itu, Prabowo mengucapkan terima kasih kepada Ketua Umum Partai Amanat Nasional (PAN) Zulkifli Hasan (Zulhas).""Saudara-saudara sekalian saya ingin mengucapkan terima kasih kepada Pak Zulkifli Hasan dan seluruh keluarga besar Partai Amanat Nasional, yang hari ini menjadi penanggung jawab penyelenggara hari ini. Terima kasih, keluarga besar Partai Amanat Nasional,"" ujar Prabowo dalam sambutannya di Stadion GBLA, Kamis (8/2/2024).Menurutnya, PAN merupakan partai yang memiliki loyalitas yang tinggi terhadap dirinya. PAN selalu bersama dan mendukung Prabowo sejak 2009. Oleh karena itu, Prabowo mengaku tidak akan pernah lupa akan loyalitas tersebut.""Saudara-saudara selalu setia selalu berada bersama saya, sudah 15 tahun kita bersama-sama. Saya tidak akan lupa, saya tidak akan lupa dengan Partai Amanat Nasional, saya tidak lupa itu,"" ungkapnya.Oleh karena itu, Prabowo mengapresiasi para kader, simpatisan dan masyarakat pendukung PAN yang telah rela menunggu dirinya datang pada kampanye akbar ini. Prabowo turut mengucapkan terima kasih karena masyarakat telah meluangkan waktu untuk hadir dalam kegiatan ini.""Luar biasa, luar biasa warga Jawa Barat. Saudara-saudara telah berjam-jam menunggu saya di tengah hujan deras, saudara tidak beranjak. Luar biasa. Terima kasih,"" ucapnya.Prabowo kemudian mengingatkan kepada semua untuk melaksanakan kewajiban sebagai warga negara pada 14 Februari mendatang. Menurutnya, momentum tersebut akan menentukan masa depan bangsa.""Saudara-saudara sekalian sebentar lagi, 6 hari lagi kita akan melaksanakan kewajiban kita sebagai warga negara, pada 14 Februari kita semua saudara-saudara semua akan menentukan masa depan dan anak-anak cucu-cucu kita,jangan lupa itu,"" pungkasnya."
7184433,            Pemilu        ,Momen Zulhas dan Gus Miftah Pimpin Selawat Doakan Prabowo-Gibran,"Jumat, 09 Feb 2024 00:38 WIB",Alfi Kholisdinuka  ,"Ketua Umum Partai Amanat Nasional (PAN) Zulkifli Hasan (Zulhas) turut memimpin selawatan bersama Gus Miftah di Kampanye Akbar PAN. Selawatan tersebut dikhususkan untuk mendoakan kemenangan pasangan calon nomor urut 2 Prabowo Subianto dan Gibran Rakabuming.Pantauan detikcom di Stadion Gelora Bandung Lautan Api (GBLA), lautan massa turut memadati lokasi meski sempat diguyur hujan deras. Massa yang mendengarkan selawatan Gus Miftah langsung khusyu mengikuti lantunan selawat tersebut.Zulhas dan Gus Miftah ditemani oleh para pendukung Koalisi Indonesia Maju (KIM). Tampak hadir di atas panggung Ketua Dewan Pakar PAN Dradjad Wibowo, Ketua Majelis Penasihat PAN, Hatta Rajasa, Sekretaris Jenderal (Sekjen) PAN Eddy Soeparno, Ketua TKD Jawa Barat, Ridwan Kamil.Selain itu, ada juga Giring Ganesha, Raffi Ahmad dan Nagita Slavina, hingga Calon Wakil Presiden Gibran Rakabuming Raka. Tak lama setelahnya, Prabowo pun tiba didampingi Menteri BUMN Erick Thohir, Ketua Tim Kampanye Nasional (TKN) Prabowo-Gibran Rosan Roeslani; hingga eks politikus PDI-P Maruarar Sirait.Beginilah syair selawat yang dilantunkan Zulhas, Gus Miftah, Gibran dan masyarakat di kampanye akbar:Shalaatullaah salaamullaah 'alaa thaaha rasuulillaahShalaatullaah salaamullaah 'alaa yaa siin habiibillaahJoko tingkir minumnya kopi, kopi ditanam dipinggir kaliAyo berpikir tentang negeri ini, kalau bukan Prabowo siapa lagi?Shalaatullaah salaamullaah 'alaa thaaha rasuulillaahShalaatullaah salaamullaah 'alaa yaa siin habiibillaahMinum kopi rasanya nikmat, makan gorengan dari katelaMari ngaji dan berselawat, Prabowo Gibran untuk IndonesiaShalaatullaah salaamullaah 'alaa thaaha rasuulillaahShalaatullaah salaamullaah 'alaa yaa siin habiibillaahTawassalnaa bibismillaah wabil haadi rasuulillaahWakulli mujaahidin lillaah bi ahlil badri yaa allaah"
7184414,            Pemilu        ,Menag Imbau Khatib Jumat 9 Februari Sampaikan Pesan Pemilu Damai,"Jumat, 09 Feb 2024 00:38 WIB",Yulida Medistiara  ,"Menteri Agama (Menag) Yaqut Cholil Qoumas mengimbau agar khatib Jum'at hari ini menyampaikan pesan pemilu damai menjelang masa coblosan yang tinggal beberapa hari lagi. Yaqut meminta agar khatib juga menyampaikan ajakan menghargai perbedaan pilihan politik.Yaqut mengatakan, sudah ada surat Dirjen Bimbingan Masyarakat Islam Kemenag yang ditujukan kepada para Kepala Kanwil Kemenag Provinsi yang juga Kepala Badan Kesejahteraan Masjid (BKM) tingkat provinsi dan Kepala Kankemenag Kabupaten/Kota yang juga Kepala BKM Kabupaten/Kota untuk menjaga kondusivitas umat dan sakralitas masjid di wilayahnya, dengan mencegah aktivitas politik praktis di masjid.Surat itu juga disampaikan kepada Kepala Kantor Urusan Agama Kecamatan yang juga Ketua BKM Kecamatan, serta para Ketua BKM kelurahan/desa dan Ketua Pengurus Dewan Kemakmuran Masjid (DKM).""Pelaksanaan pemilu semakin dekat. Kami mengimbau khatib Jumat untuk menyampaikan pesan pentingnya menyukseskan pemilu yang damai, menguatkan persaudaraan dan kerukukan, serta mendorong umat untuk menggunakan hak suara secara bertanggung jawab, dan menghargai perbedaan pilihan politik,"" kata Menag Yaqut dalam keterangannya, Jumat (9/2/2024).Menag juga mengimbau pengurus masjid agar tidak ada penggunaan masjid sebagai tempat kampanye politik yang mendukung paslon tertentu.""Pengurus BKM dari pusat hingga desa juga diimbau agar masjid tidak digunakan sebagai tempat kampanye politik praktis dengan mendukung partai atau paslon tertentu,"" imbuhnya.Dalam penyelenggaraan khotbah Jumat, para pengurus dan pengelola masjid serta penceramah diminta untuk memedomani dan menyosialisasikan Surat Edaran Menteri Agama Nomor: SE.09 Tahun 2023 tentang Pedoman Ceramah Keagamaan. Materi ceramah agama bersifat mendidik, mencerahkan, dan konstruktif; meningkatkan keimanan dan ketakwaaan; menjaga keutuhan bangsa dan negara; tidak mempertetantangkan RAS; tidak menghina dan melecehkan; tidak menghasut; serta tidak bermuatan kampanye politik praktis.Selain itu kepada tokoh berbagai agama, Yaqut juga mengimbau untuk menyampaikan pesan pemilu damai kepada jemaat.""Demikian juga kepada para tokoh berbagai agama, saya imbau agar bisa menyampaikan pesan yang sama kepada umat masing-masing dalam setiap kesempatan peribadatan dan perjumpaan,"" sambungnya.Menag Yaqut mengatakan pemilu adalah pesta demokrasi yang diselenggarakan lima tahun sekali. Layaknya sebuah pesta, proses ini diharapkan bisa dijalankan dengan penuh riang gembira.Yaqut meminta agar masyarakat saling menghargai pilihan politik masing-masing. Yaqut berpesan agar perbedaan pilihan politik tidak membuat sampai menciderai persaudaraan.""Perbedaan dalam pilihan politik adalah hal wajar dan setiap orang harus menghargainya. Terlalu mahal jika beda pilihan politik sampai merusak persaudaraan,"" ujarnya.""Beda pilihan politik tidak harus sampai mencederai persaudaraan dan persahabatan. Rumah ibadah kami harap mengambil peran dalam penguatan kohesi dan kerukunan di tengah keragaman umat, termasuk keragaman pilihan politik,"" sambungnya.Yaqut menyebut hiruk pikuk pemilu segera kembali normal setelah warga bangsa gunakan hak suaranya. Semua kembali pada kehidupan masing-masing, bekerja sesuai tugasnya, sembari memantau proses penghitungan yang dilakukan oleh Komisi Pemilihan Umum (KPU).""Kami yakin KPU akan bekerja secara professional dan bertanggung jawab. Bawaslu sebagai lembaga pengawas juga akan melaksanakan tugasnya dengan baik,"" ujarnya.Bakal Gelar Doa Lintas ImanKementerian Agama akan menggelar doa bersama lintas iman pada 11 Februari mendatang. Yaqut mengatakan kegiatan ini sebagai dukungan moral untuk kesuksesan Pemilu 2024Kementerian Agama akan mengundang para tokoh dari berbagai agama untuk mendoakan kelancaran proses pemilu dan kesuksesan Indonesia di masa mendatang.""Insyaallah, pada 11 Februari kita akan menggelar doa bersama. Kami akan mengundang para tokoh dari berbagai agama untuk mendoakan suksesnya Pemilu dan kemajuan bangsa,"" kata pria yang akrab disapa Gus Men itu.""Doa juga akan diikuti secara daring oleh para tokoh agama dan masyarakat seluruh Indonesia,"" sambungnya.Berikut Imbauan Dirjen Bimas Islam kepada para Kakanwil Kemenag provinsi, Kakankemenag kabupaten/kota, dan Kepala KUA kecamatan, selaku Ketua Badan Kesejahteraan Masjid (BKM) di wilayahÂ¬nya masing-masing, serta para ketua pengurus Dewan Kemakmuran Masjid (DKM) atau takmir masjid, untuk:1. menjaga kondusivitas umat dan sakralitas masjid di wilayahnya, dengan mencegah aktivitas politik praktis di masjid. Dalam hal terjadi gejala politisasi masjid atau polarisasi umat, agar segera menanganinya dan berkoordinasi dengan pihak-pihak berwenang di wilayahnya;2. mendorong para pengurus dan pengelola masjid untuk memedomani dan menyosialisasikan Surat Edaran Menteri Agama Nomor: SE.09 Tahun 2023 tentang Pedoman Ceramah Keagamaan (terlampir), termasuk kepada para penceramah/dai, khatib Jumat, serta segenap jamaah masjid; dan3. mengimbau para khatib Jumat untuk menyampaikan pesan-pesan pemilu damai, persaudaraan dan kerukunan nasional, serta mendoakan kesuksesan Pemilu dan keutuhan bangsa, dalam khutbah tanggal 9 Februari 2024 yang akan datang.Berikut ketentuan materi ceramah keagamaan sebagaimana tertuang dalam Edaran Menag No 09 tahun 2023:a. bersifat mendidik, mencerahkan, dan konstruktif;b. meningkatkan keimanan dan ketakwaaan, hubungan baik intra dan antarumat beragama, dan menjaga keutuhan bangsa dan negara;c. menjaga Pancasila, Undang-Undang Dasar Negara Republik Indonesia Tahun 1945, Negara Kesatuan Republik Indonesia, dan Bhineka Tunggal Ika;d. tidak mempertentangkan unsur suku, agama, ras, dan antar golongan;e. tidak menghina, menodai, dan/atau melecehkan pandangan, keyakinan, dan praktik ibadat umat beragama serta memuat ujaran kebencian;f. tidak memprovokasi masyarakat untuk melakukan tindakan intoleransi, diskriminatif, intimidatif, anarkis, dan destruktif; dang. tidak bermuatan kampanye politik praktis.Simak juga Video 'Budi Arie: Pemilu Damai itu Harus Siap Menang, Siap Kalah': [Gambas:Video 20detik]"
7184400,            Pemilu        ,Fahira Idris Ingatkan Pemilu Hanya Instrumen Capai Tujuan Berbangsa,"Jumat, 09 Feb 2024 00:38 WIB",Erika Dyah  ,"Anggota DPD RI Dapil DKI Jakarta Fahira Idris menegaskan pemilu bukan tujuan akhir dari negara Indonesia. Menurutnya, pemilu hanya sebuah instrumen atau alat untuk mencapai tujuan berbangsa dan bernegara sebagaimana yang tercantum dalam pembukaan konstitusi.Sebagaimana diketahui, tujuan berbangsa termasuk melindungi segenap bangsa Indonesia dan seluruh tumpah darah Indonesia, memajukan kesejahteraan umum, mencerdaskan kehidupan bangsa dan ikut melaksanakan ketertiban dunia yang berdasarkan kemerdekaan, serta perdamaian abadi dan keadilan sosial.Mengingat suasana kampanye semakin hangat menjelang hari pencoblosan, Fahira mengajak anak bangsa, terutama para elite merefleksikan makna pemilu yang hanyalah instrumen atau alat.""Karena pemilu ini hanya instrumen atau alat mewujudkan amanat konstitusi, maka kita semua harus memastikan prosesnya sesuai prinsip-prinsip demokrasi. Bahkan, setelah nanti pemimpin dan wakil rakyat terpilih secara legitimasi, tugas kita sebagai warga negara belum usai,"" ujar Calon Anggota DPD RI Dapil DKI Jakarta pada Pemilu 2024 ini dalam keterangan tertulis, Jumat (9/2/2024).""Ini karena, kita masih harus mengawal mereka yang kita pilih agar menggunakan kekuasaannya hanya untuk kepentingan umum bukan kepentingan segelintir orang,"" imbuhnya.Ia menjelaskan pemilu bagi negara demokrasi seperti Indonesia merupakan instrumen/alat mempertemukan segala macam perbedaan pandangan, terutama politik, untuk mencapai sebuah konsensus baru yang harus disepakati semua pihak. Setidaknya untuk menentukan keberlanjutan perjalanan bangsa selama lima tahun ke depan.""Perbedaan pandangan yang semakin meruncing saat ini harus dianggap sebagai proses untuk mencari kandidat mana yang dinilai paling ideal mempercepat tujuan bangsa sebagaimana tercantum dalam pembukaan konstitusi,"" papar Fahira.""Pemilu adalah alat untuk memberikan legitimasi kepada pemerintah dan wakil rakyat yang terpilih secara demokratis dan untuk mencegah konsolidasi kekuasaan di tangan sejumlah kecil individu atau kelompok yang dapat mengancam prinsip-prinsip demokrasi,"" sambungnya.Ia menilai gegap gempita penyelenggaraan Pemilu 2024 harus dipandang sebagai fondasi sistem demokrasi agar terus berfungsi dengan baik. Untuk itu, ia berharap setiap warga negara memiliki hak yang sama untuk memilih dan diwakili dalam proses pengambilan keputusan politik.Lebih lanjut, Fahira mengatakan pemilu adalah momentum yang dihadirkan secara berkala bagi rakyat sebagai pemegang saham terbesar di Indonesia untuk memberikan legitimasi pada pemerintahan dan parlemen yang terpilih. Pemilu juga digelar untuk memastikan mereka yang terpilih bekerja berdasarkan kehendak rakyat dan bertindak sesuai dengan kepentingan umum, bukan kepentingan golongan tertentu."
